"Disneyland Paris",77,Seine-Maritime,15000
"Cathédrale Notre-Dame de Paris",75,Haute-Savoie,12000
"Château de Versailles",78,Seine-et-Marne,8100
"Sanctuaire de Lourdes",32,Haute-Garonne,6000
Vieux-Lille,59,Nievre,5000
"Plages du Débarquement",14,Calvados,4500
"Cathédrale de Strasbourg",67,Pyrenees-Orientales,4500
"Place Stanislas",54,Mayenne,4000
"Port de Saint-Tropez",83,Tarn-et-Garonne,4000
"Calanques de Marseille",13,Bouches-du-Rhone,3500
"Saint-Malo intra-muros",35,Herault,3000
Mont-Saint-Michel,50,Maine-et-Loire,3000
"Lac d'Annecy",74,Savoie,3000
"Basilique Notre-Dame de Fourvière",42,Loir-et-Cher,2500
"Golfe du Morbihan",56,Meuse,2500
"Basilique de Fourvière",69,Haut-Rhin,2500
"Parc Astérix",60,Nord,2300
"Puy du Fou",85,Vaucluse,2300
"Dune du Pilat",33,Gers,2100
"Cité de Carcassonne",11,Aude,2000
"Baie de Somme",80,Deux-Sevres,2000
Futuroscope,86,Vendee,1900
"Dune du Pilat - Plages",40,Jura,1800
"Côte de Granit Rose",22,Cote-d'Or,1500
"Cathédrale de Chartres",28,Eure,1500
"Cathédrale de Reims",51,Manche,1500
"La Défense",92,Essonne,1500
"Pont du Gard",30,Finistere,1400
"Pointe du Raz",29,Eure-et-Loir,1200
"Lac du Bourget",73,Sarthe,1200
"Château de Chambord",41,Landes,1000
"Parc national des Écrins",5,Hautes-Alpes,950
"Marais Poitevin",79,Yvelines,900
"Château de Chenonceau",37,Indre,850
"Parc national des Pyrénées",65,Pyrenees-Atlantiques,850
"Parc naturel régional de la Narbonnaise",11,Aude,800
"Basilique Saint-Sernin",31,Gard,800
"Gorges du Tarn",48,Lot-et-Garonne,800
"Verdun - Champs de bataille",55,Meurthe-et-Moselle,800
"Machines de l'île",44,Haute-Loire,650
"Palais des Papes",84,Var,650
"Puy Mary",15,Cantal,600
"Parc naturel du Haut-Jura",39,Isere,600
"Cathédrale de Metz",57,Morbihan,600
"Lac du Der-Chantecoat",10,Aube,500
"Lac du Der",52,Marne,500
"Circuit des 24 Heures du Mans",72,Saone-et-Loire,500
"Albi - Cité épiscopale",81,Somme,500
"Château de Fontainebleau",91,Territoire de Belfort,500
"Gouffre de Padirac",19,Correze,450
"Parc du Morvan",58,Moselle,450
Vulcania,63,Pas-de-Calais,450
"Viaduc de Millau",12,Aveyron,400
"Pont d'Avignon",13,Bouches-du-Rhone,400
"Grotte de Lascaux IV",24,Creuse,400
"Grande Mosquée de Lyon",38,Indre-et-Loire,400
"Le Puy-en-Velay",43,Loire,400
"Basilique Sainte-Thérèse",61,Oise,400
"Îles Lavezzi",2B,Haute-Corse,350
"Cognac - Maisons de cognac",16,Charente,350
"Abbaye du Mont-Saint-Michel",27,Drome,350
"Parc naturel des Causses du Quercy",46,Loiret,350
"Place Stanislas",88,Haute-Vienne,350
"Musée Matisse",6,Alpes-Maritimes,300
"Cathédrale de Bourges",18,Cher,300
"Cathédrale Sainte-Croix d'Orléans",45,Loire-Atlantique,300
Notre-Dame-de-Lorette,62,Orne,300
Oradour-sur-Glane,87,Vienne,300
"Citadelle de Besançon",25,Dordogne,280
"Cathédrale Saint-Jean",12,Aveyron,250
"Écomusée d'Alsace",68,Bas-Rhin,250
"Réserve naturelle de Scandola",2A,Corse-du-Sud,200
"Place Ducale de Charleville-Mézières",8,Ardennes,200
"Château de Fougères",21,Haute-Corse,200
"Grotte de Clamouse",34,Gironde,200
"Palais des rois de Majorque",66,Hautes-Pyrenees,200
"Abbaye de Cluny",71,Haute-Saone,200
"Lion de Belfort",90,Yonne,200
"Château de Vincennes",94,Seine-Saint-Denis,200
"Citadelle de Sisteron",4,Alpes-de-Haute-Provence,180
"Fort Boyard",17,Charente-Maritime,180
"Agen et sa région",47,Lot,180
"Grottes de Bétharram",64,Puy-de-Dome,180
"Abbaye de Moissac",82,Tarn,180
"Palais idéal du facteur Cheval",7,Ardeche,150
"Palais idéal du facteur Cheval",26,Doubs,150
"Basilique Saint-Denis",93,Hauts-de-Seine,150
"Château de Foix",9,Ariege,120
"Basilique d'Évron",53,Haute-Marne,120
"Chapelle de Ronchamp",70,Rhone,100
"Tapisseries d'Aubusson",23,Cotes-d'Armor,80
"Abbaye de Pontigny",89,Vosges,80
,1,Ain,0
,2,Aisne,0
,3,Allier,0
,20,Corse-du-Sud,0
,36,Ille-et-Vilaine,0
,49,Lozere,0
,76,Paris,0
,95,Val-de-Marne,0
